countyState,GEOID,lon,lat,P_total,P_white,P_black,P_asian,P_native,P_hawaiian,P_others,P_below_middle_school,P_some_high_school,P_high_school_equivalent,P_some_college,P_bachelor_and_above,P_below_poverty,median_age,gini_index,median_household_income,median_rent_per_income,percent_no_internet,Year,State,CountyID,StateCountyName,AllAgesSAIPEPovertyUniverse,AllAgesinPovertyCount,AllAgesinPovertyCountLB90%,AllAgesinPovertyCountUB90%,90%ConfidenceInterval(AllAgesinPovertyCount),AllAgesinPovertyPercent,AllAgesinPovertyPercentLB90%,AllAgesinPovertyPercentUB90%,90%ConfidenceInterval(AllAgesinPovertyPercent),UnderAge18SAIPEPovertyUniverse,UnderAge18inPovertyCount,UnderAge18inPovertyCountLB90%,UnderAge18inPovertyCountUB90%,90%ConfidenceInterval(UnderAge18inPovertyCount),UnderAge18inPovertyPercent,UnderAge18inPovertyPercentLB90%,UnderAge18inPovertyPercentUB90%,90%ConfidenceInterval(UnderAge18inPovertyPercent),Ages5to17inFamiliesSAIPEPovertyUniverse,Ages5to17inFamiliesinPovertyCount,Ages5to17inFamiliesinPovertyCountLB90%,Ages5to17inFamiliesinPovertyCountUB90%,90%ConfidenceInterval(Ages5to17inFamiliesinPovertyCount),Ages5to17inFamiliesinPovertyPercent,Ages5to17inFamiliesinPovertyPercentLB90%,Ages5to17inFamiliesinPovertyPercentUB90%,90%ConfidenceInterval(Ages5to17inFamiliesinPovertyPercent),UnderAge5SAIPEPovertyUniverse,UnderAge5inPovertyCount,UnderAge5inPovertyCountLB90%,UnderAge5inPovertyCountUB90%,90%ConfidenceInterval(UnderAge5inPovertyCount),UnderAge5inPovertyPercent,UnderAge5inPovertyPercentLB90%,UnderAge5inPovertyPercentUB90%,90%ConfidenceInterval(UnderAge5inPovertyPercent),MedianHouseholdIncomeinDollars,MedianHouseholdIncomeinDollarsLB90%,MedianHouseholdIncomeinDollarsUB90%,90%ConfidenceInterval(MedianHouseholdIncomeinDollars)
Hall County (GA),05000US13139,-83.8184973,34.3175876,196637,168678,14687,3451,412,99,4766,11579,15316,37581,33288,27404,25795,36.5,0.4268,54917,27.3,13.43853767046,2017,13,13139,Hall County (GA),195975,25982,22333,29631,"22,333 to 29,631",13.3,11.4,15.2,11.4 to 15.2,49930,10386,8846,11926,"8,846 to 11,926",20.8,17.7,23.9,17.7 to 23.9,36905,6623,5415,7831,"5,415 to 7,831",17.9,14.6,21.2,14.6 to 21.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$61,320","$58,283","$64,357","$58,283 to $64,357"
Henry County (GA),05000US13151,-84.1544404,33.4528811,221768,110602,94657,7935,0,0,2709,2443,11818,39676,46471,41615,21047,36.5,0.4165,66905,25.6,7.38656962926161,2017,13,13151,Henry County (GA),224238,22065,18653,25477,"18,653 to 25,477",9.8,8.3,11.3,8.3 to 11.3,57905,8429,6710,10148,"6,710 to 10,148",14.6,11.6,17.6,11.6 to 17.6,44986,5864,4508,7220,"4,508 to 7,220",13,10.0,16.0,10.0 to 16.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$67,493","$64,566","$70,420","$64,566 to $70,420"
Houston County (GA),05000US13153,-83.6628559,32.4583811,152122,93711,45011,4623,622,0,1763,2178,7150,22647,37813,30115,24445,35.4,0.4108,62493,27.4,14.4934795441942,2017,13,13153,Houston County (GA),151580,19675,16484,22866,"16,484 to 22,866",13.0,10.9,15.1,10.9 to 15.1,38935,7858,6339,9377,"6,339 to 9,377",20.2,16.3,24.1,16.3 to 24.1,28820,5544,4364,6724,"4,364 to 6,724",19.2,15.1,23.3,15.1 to 23.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$59,291","$54,822","$63,760","$54,822 to $63,760"
Liberty County (GA),05000US13179,-81.4579687,31.8072445,62570,29415,25722,940,295,12,1916,706,2326,10858,14763,6309,7862,27.2,0.3974,45138,29.9,14.2166260020913,2017,13,13179,Liberty County (GA),59466,9989,8274,11704,"8,274 to 11,704",16.8,13.9,19.7,13.9 to 19.7,16962,4212,3271,5153,"3,271 to 5,153",24.8,19.3,30.3,19.3 to 30.3,10774,2806,2111,3501,"2,111 to 3,501",26,19.6,32.4,19.6 to 32.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$45,655","$42,153","$49,157","$42,153 to $49,157"
Lowndes County (GA),05000US13185,-83.2689668,30.8336801,114628,67078,44310,418,256,113,878,1350,6378,23796,18742,16336,24127,30.5,0.51,41449,31,19.3804334516959,2017,13,13185,Lowndes County (GA),109025,27533,24892,30174,"24,892 to 30,174",25.3,22.9,27.7,22.9 to 27.7,27160,8058,6472,9644,"6,472 to 9,644",29.7,23.9,35.5,23.9 to 35.5,19297,5409,4181,6637,"4,181 to 6,637",28,21.6,34.4,21.6 to 34.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$42,019","$38,566","$45,472","$38,566 to $45,472"
Muscogee County (GA),05000US13215,-84.874946,32.510197,197485,86603,90127,4160,1159,0,4517,2688,11025,33963,43371,35079,41236,33.7,0.5,40060,31.6,19.1291015865628,2017,13,13215,Muscogee County (GA),187703,42476,38197,46755,"38,197 to 46,755",22.6,20.3,24.9,20.3 to 24.9,47338,15808,13619,17997,"13,619 to 17,997",33.4,28.8,38,28.8 to 38.0,33389,10236,8465,12007,"8,465 to 12,007",30.7,25.4,36.0,25.4 to 36.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$42,610","$39,994","$45,226","$39,994 to $45,226"
Newton County (GA),05000US13217,-83.8551891,33.5440455,106999,NA,NA,NA,NA,NA,NA,2497,8403,20870,22271,11465,23299,36.0,0.46,48628,32,14.6294487090021,2017,13,13217,Newton County (GA),106159,14236,11379,17093,"11,379 to 17,093",13.4,10.7,16.1,10.7 to 16.1,27917,5617,4195,7039,"4,195 to 7,039",20.1,15.0,25.2,15.0 to 25.2,20947,4000,2893,5107,"2,893 to 5,107",19.1,13.8,24.4,13.8 to 24.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$55,632","$50,322","$60,942","$50,322 to $60,942"
Paulding County (GA),05000US13223,-84.8669788,33.9209028,155825,NA,NA,NA,NA,NA,NA,2348,6222,33021,32812,23359,13462,36.4,0.3834,60856,28.9,7.03487389434543,2017,13,13223,Paulding County (GA),158425,13225,10659,15791,"10,659 to 15,791",8.3,6.7,9.9,6.7 to 9.9,41769,4688,3591,5785,"3,591 to 5,785",11.2,8.6,13.8,8.6 to 13.8,31671,3339,2526,4152,"2,526 to 4,152",10.5,7.9,13.1,7.9 to 13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$67,906","$64,068","$71,744","$64,068 to $71,744"
Richmond County (GA),05000US13245,-82.0749983,33.361487,201647,76547,114495,4084,584,848,2376,3311,14721,40910,40681,29069,48523,34.0,0.4641,41419,30.1,19.0794240472144,2017,13,13245,Richmond County (GA),190394,45089,39333,50845,"39,333 to 50,845",23.7,20.7,26.7,20.7 to 26.7,45566,16142,13481,18803,"13,481 to 18,803",35.4,29.6,41.2,29.6 to 41.2,32090,11021,9013,13029,"9,013 to 13,029",34.3,28.0,40.6,28.0 to 40.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$38,297","$35,917","$40,677","$35,917 to $40,677"
Rockdale County (GA),05000US13247,-84.0263696,33.6520811,89355,NA,NA,NA,NA,NA,NA,1805,3902,21218,16366,14381,12616,38.4,0.4123,56820,24.7,18.1626674566341,2017,13,13247,Rockdale County (GA),89242,12585,10184,14986,"10,184 to 14,986",14.1,11.4,16.8,11.4 to 16.8,22214,4988,3786,6190,"3,786 to 6,190",22.5,17.1,27.9,17.1 to 27.9,16924,3380,2469,4291,"2,469 to 4,291",20,14.6,25.4,14.6 to 25.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$59,341","$54,568","$64,114","$54,568 to $64,114"
Troup County (GA),05000US13285,-85.02836,33.034482,70005,NA,NA,NA,NA,NA,NA,1914,7008,14267,11844,9518,14790,36.4,0.4594,42371,31.6,25.7951251377945,2017,13,13285,Troup County (GA),67421,14566,12622,16510,"12,622 to 16,510",21.6,18.7,24.5,18.7 to 24.5,16955,4737,3808,5666,"3,808 to 5,666",27.9,22.4,33.4,22.4 to 33.4,12406,3176,2409,3943,"2,409 to 3,943",25.6,19.4,31.8,19.4 to 31.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$43,112","$38,828","$47,396","$38,828 to $47,396"
Walker County (GA),05000US13295,-85.3053852,34.7358269,67896,NA,NA,NA,NA,NA,NA,1562,7979,15723,13766,7932,13758,41.4,0.4816,39209,33.7,19.9322978892871,2017,13,13295,Walker County (GA),67460,10520,8598,12442,"8,598 to 12,442",15.6,12.8,18.4,12.8 to 18.4,14870,3601,2869,4333,"2,869 to 4,333",24.2,19.3,29.1,19.3 to 29.1,11027,2334,1741,2927,"1,741 to 2,927",21.2,15.8,26.6,15.8 to 26.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$44,176","$40,262","$48,090","$40,262 to $48,090"
Walton County (GA),05000US13297,-83.7342152,33.7826485,90184,NA,NA,NA,NA,NA,NA,1193,5914,19910,16763,13280,12057,38.3,0.4335,53202,36.3,16.0800911606707,2017,13,13297,Walton County (GA),90615,11157,9199,13115,"9,199 to 13,115",12.3,10.1,14.5,10.1 to 14.5,22621,3802,2913,4691,"2,913 to 4,691",16.8,12.9,20.7,12.9 to 20.7,17000,2616,1933,3299,"1,933 to 3,299",15.4,11.4,19.4,11.4 to 19.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$58,028","$53,488","$62,568","$53,488 to $62,568"
Whitfield County (GA),05000US13313,-84.968541,34.8017261,104589,NA,NA,NA,NA,NA,NA,6993,11171,18114,18613,8233,18184,35.1,0.4695,46399,24.3,18.9776340007809,2017,13,13313,Whitfield County (GA),103385,17059,14630,19488,"14,630 to 19,488",16.5,14.2,18.8,14.2 to 18.8,27059,6511,5551,7471,"5,551 to 7,471",24.1,20.6,27.6,20.6 to 27.6,20140,4968,4259,5677,"4,259 to 5,677",24.7,21.2,28.2,21.2 to 28.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$42,568","$39,959","$45,177","$39,959 to $45,177"
Hawaii County (HI),05000US15001,-155.5024434,19.5977643,198449,64714,1586,47415,293,26900,2422,2514,6295,46005,45084,38574,30154,42.6,0.4674,55750,29.6,17.9323383654645,2017,15,15001,Hawaii County (HI),196862,29604,25460,33748,"25,460 to 33,748",15.0,12.9,17.1,12.9 to 17.1,42677,8938,6885,10991,"6,885 to 10,991",20.9,16.1,25.7,16.1 to 25.7,30562,5738,4198,7278,"4,198 to 7,278",18.8,13.8,23.8,13.8 to 23.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$56,540","$53,296","$59,784","$53,296 to $59,784"
Honolulu County (HI),05000US15003,-158.2019756,21.4613641,992605,209223,23269,421281,1636,93165,8029,21351,31333,176857,214356,235112,81533,37.5,0.43,80513,34.7,11.4034718875437,2017,15,15003,Honolulu County (HI),956356,79084,72828,85340,"72,828 to 85,340",8.3,7.6,9.0,7.6 to 9.0,205636,20432,17412,23452,"17,412 to 23,452",9.9,8.4,11.4,8.4 to 11.4,142978,12841,10595,15087,"10,595 to 15,087",9,7.4,10.6,7.4 to 10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$80,947","$79,642","$82,252","$79,642 to $82,252"
Kauai County (HI),05000US15007,-159.7059653,22.0120383,72029,23326,621,24200,563,5678,183,1223,1665,16790,16082,14086,4333,42.3,0.4198,71344,31,13.9786335831826,2017,15,15007,Kauai County (HI),71202,7172,5749,8595,"5,749 to 8,595",10.1,8.1,12.1,8.1 to 12.1,15676,2032,1469,2595,"1,469 to 2,595",13,9.4,16.6,9.4 to 16.6,11219,1206,791,1621,"791 to 1,621",10.7,7.0,14.4,7.0 to 14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$74,881","$70,744","$79,018","$70,744 to $79,018"
Maui County (HI),05000US15009,-156.6015503,20.8559306,165379,60712,422,50531,157,18797,1687,2121,4282,38072,41393,28799,13544,41.1,0.4613,72257,28.8,10.5032455420428,2017,15,15009,Maui County (HI),164127,16342,13633,19051,"13,633 to 19,051",10.0,8.3,11.7,8.3 to 11.7,35446,4169,2997,5341,"2,997 to 5,341",11.8,8.5,15.1,8.5 to 15.1,25584,2678,1810,3546,"1,810 to 3,546",10.5,7.1,13.9,7.1 to 13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$76,376","$72,812","$79,940","$72,812 to $79,940"
Black Hawk County (IA),05000US19013,-92.306059,42.4728884,132904,113334,12012,3374,802,719,854,1499,4261,26567,26296,23543,21740,35.2,0.4828,50470,28.9,16.7000133386688,2017,19,19013,Black Hawk County (IA),127176,19469,17200,21738,"17,200 to 21,738",15.3,13.5,17.1,13.5 to 17.1,28350,4683,3723,5643,"3,723 to 5,643",16.5,13.1,19.9,13.1 to 19.9,19950,2740,2024,3456,"2,024 to 3,456",13.7,10.1,17.3,10.1 to 17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$50,426","$47,979","$52,873","$47,979 to $52,873"
Dallas County (IA),05000US19049,-94.0407065,41.6853206,84516,76654,1003,3579,102,0,637,1486,923,9098,15841,27207,3755,35.2,0.4528,75899,31.3,8.87582881253767,2017,19,19049,Dallas County (IA),86381,3834,3001,4667,"3,001 to 4,667",4.4,3.4,5.4,3.4 to 5.4,24295,1167,851,1483,"851 to 1,483",4.8,3.5,6.1,3.5 to 6.1,17342,690,466,914,466 to 914,4,2.7,5.3,2.7 to 5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$90,133","$84,571","$95,695","$84,571 to $95,695"
Dubuque County (IA),05000US19061,-90.8787708,42.4634808,97003,NA,NA,NA,NA,NA,NA,410,3248,21481,19938,18922,9908,38.0,0.4751,60456,24.8,13.0416335189605,2017,19,19061,Dubuque County (IA),93250,9131,7629,10633,"7,629 to 10,633",9.8,8.2,11.4,8.2 to 11.4,21982,2356,1785,2927,"1,785 to 2,927",10.7,8.1,13.3,8.1 to 13.3,15871,1482,1057,1907,"1,057 to 1,907",9.3,6.6,12.0,6.6 to 12.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$60,936","$58,043","$63,829","$58,043 to $63,829"
Johnson County (IA),05000US19103,-91.5888122,41.6687365,146547,119612,10314,10102,0,0,3928,1394,2670,13640,20927,46917,25733,30.0,0.4813,58064,38.3,8.24230560847301,2017,19,19103,Johnson County (IA),140639,21574,19818,23330,"19,818 to 23,330",15.3,14.1,16.5,14.1 to 16.5,29862,2922,2188,3656,"2,188 to 3,656",9.8,7.3,12.3,7.3 to 12.3,21014,1848,1315,2381,"1,315 to 2,381",8.8,6.3,11.3,6.3 to 11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$61,395","$59,137","$63,653","$59,137 to $63,653"
Linn County (IA),05000US19113,-91.5976735,42.0779506,221661,198263,12247,5323,239,132,529,1417,5968,39482,48421,52954,22115,37.6,0.433,64639,25.8,13.0543998744014,2017,19,19113,Linn County (IA),218806,19688,16680,22696,"16,680 to 22,696",9.0,7.6,10.4,7.6 to 10.4,51477,5733,4548,6918,"4,548 to 6,918",11.1,8.8,13.4,8.8 to 13.4,37247,3292,2417,4167,"2,417 to 4,167",8.8,6.5,11.1,6.5 to 11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$63,754","$60,632","$66,876","$60,632 to $66,876"
Polk County (IA),05000US19153,-93.5697204,41.6842807,474045,396575,31968,22224,1315,150,8740,9183,15514,74309,98010,112049,50855,35.3,0.4372,64067,28,11.1369201860445,2017,19,19153,Polk County (IA),472651,45028,40604,49452,"40,604 to 49,452",9.5,8.6,10.4,8.6 to 10.4,118694,14125,11976,16274,"11,976 to 16,274",11.9,10.1,13.7,10.1 to 13.7,84245,8853,7231,10475,"7,231 to 10,475",10.5,8.6,12.4,8.6 to 12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$66,112","$64,099","$68,125","$64,099 to $68,125"
Pottawattamie County (IA),05000US19155,-95.5449053,41.3401835,93582,NA,NA,NA,NA,NA,NA,298,4339,21030,22793,13517,7916,39.1,0.4568,55972,27.7,16.1716628802571,2017,19,19155,Pottawattamie County (IA),91104,9661,7850,11472,"7,850 to 11,472",10.6,8.6,12.6,8.6 to 12.6,21596,2996,2217,3775,"2,217 to 3,775",13.9,10.3,17.5,10.3 to 17.5,15770,1922,1352,2492,"1,352 to 2,492",12.2,8.6,15.8,8.6 to 15.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$57,867","$54,167","$61,567","$54,167 to $61,567"
Scott County (IA),05000US19163,-90.6222899,41.6416793,172474,147577,14802,4441,554,0,2285,1089,5316,36898,35324,36493,22805,37.9,0.4585,54730,32.9,20.2203616576728,2017,19,19163,Scott County (IA),169048,19061,16013,22109,"16,013 to 22,109",11.3,9.5,13.1,9.5 to 13.1,40332,5726,4429,7023,"4,429 to 7,023",14.2,11.0,17.4,11.0 to 17.4,29325,3610,2646,4574,"2,646 to 4,574",12.3,9.0,15.6,9.0 to 15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$59,461","$55,592","$63,330","$55,592 to $63,330"
Story County (IA),05000US19169,-93.4660934,42.0375379,97090,84190,1423,8417,178,0,340,119,1052,9545,12491,28328,18802,26.9,0.4647,53371,38.9,7.19946452476573,2017,19,19169,Story County (IA),85976,14508,13166,15850,"13,166 to 15,850",16.9,15.3,18.5,15.3 to 18.5,15825,1197,880,1514,"880 to 1,514",7.6,5.6,9.6,5.6 to 9.6,11373,694,481,907,481 to 907,6.1,4.2,8.0,4.2 to 8.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$61,381","$55,943","$66,819","$55,943 to $66,819"
Woodbury County (IA),05000US19193,-96.0532956,42.3932198,102779,87253,3720,3154,723,749,3083,2480,5867,19764,20874,14802,12551,35.1,0.4411,52324,27.7,17.1907756813417,2017,19,19193,Woodbury County (IA),99684,13330,11446,15214,"11,446 to 15,214",13.4,11.5,15.3,11.5 to 15.3,26265,4221,3279,5163,"3,279 to 5,163",16.1,12.5,19.7,12.5 to 19.7,18935,2727,2034,3420,"2,034 to 3,420",14.4,10.7,18.1,10.7 to 18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$54,528","$50,983","$58,073","$50,983 to $58,073"
Ada County (ID),05000US16001,-116.244456,43.4478606,444028,402851,6535,11778,2026,377,6847,2911,10492,66998,102929,113442,47122,36.6,0.4696,61301,28,21.7534994551746,2017,16,16001,Ada County (ID),445786,47955,43399,52511,"43,399 to 52,511",10.8,9.8,11.8,9.8 to 11.8,109175,11542,9454,13630,"9,454 to 13,630",10.6,8.7,12.5,8.7 to 12.5,82165,7709,6154,9264,"6,154 to 9,264",9.4,7.5,11.3,7.5 to 11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$61,469","$59,079","$63,859","$59,079 to $63,859"
Bannock County (ID),05000US16005,-112.2289863,42.6929385,84377,74610,280,1480,3335,0,2279,1296,3098,15031,18229,14713,13683,34.0,0.4654,48429,27.1,13.0106955424168,2017,16,16005,Bannock County (ID),83180,11846,9918,13774,"9,918 to 13,774",14.2,11.9,16.5,11.9 to 16.5,22445,3487,2625,4349,"2,625 to 4,349",15.5,11.7,19.3,11.7 to 19.3,16289,2290,1641,2939,"1,641 to 2,939",14.1,10.1,18.1,10.1 to 18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$51,093","$47,367","$54,819","$47,367 to $54,819"
Bonneville County (ID),05000US16019,-111.6218783,43.3951708,112232,99184,0,1521,843,0,7841,576,4067,16183,25007,21998,11958,33.0,0.4208,59706,25.2,8.47545757071547,2017,16,16019,Bonneville County (ID),113662,11982,9742,14222,"9,742 to 14,222",10.5,8.5,12.5,8.5 to 12.5,35189,4686,3599,5773,"3,599 to 5,773",13.3,10.2,16.4,10.2 to 16.4,25515,3002,2216,3788,"2,216 to 3,788",11.8,8.7,14.9,8.7 to 14.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$55,744","$51,819","$59,669","$51,819 to $59,669"
Canyon County (ID),05000US16027,-116.7085267,43.6230509,211698,171868,48,2978,2689,835,27575,5518,12731,41785,41778,24757,31822,32.7,0.4086,48437,28.3,14.5550322793055,2017,16,16027,Canyon County (ID),213352,33022,29600,36444,"29,600 to 36,444",15.5,13.9,17.1,13.9 to 17.1,61913,10673,8806,12540,"8,806 to 12,540",17.2,14.2,20.2,14.2 to 20.2,45457,6977,5611,8343,"5,611 to 8,343",15.3,12.3,18.3,12.3 to 18.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$47,915","$45,546","$50,284","$45,546 to $50,284"
Kootenai County (ID),05000US16055,-116.6949184,47.6771129,154311,143862,1029,1352,2970,167,1836,685,6502,28908,41719,27414,24813,39.6,0.4217,51765,30.7,13.5150743099788,2017,16,16055,Kootenai County (ID),156059,16542,13722,19362,"13,722 to 19,362",10.6,8.8,12.4,8.8 to 12.4,35838,5272,4153,6391,"4,153 to 6,391",14.7,11.6,17.8,11.6 to 17.8,26297,3505,2666,4344,"2,666 to 4,344",13.3,10.1,16.5,10.1 to 16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$56,921","$53,849","$59,993","$53,849 to $59,993"
Twin Falls County (ID),05000US16083,-114.6656386,42.352309,83514,NA,NA,NA,NA,NA,NA,1407,3657,14238,21566,11629,12017,34.7,0.4229,51210,34.2,11.6637338557057,2017,16,16083,Twin Falls County (ID),83953,11332,9533,13131,"9,533 to 13,131",13.5,11.4,15.6,11.4 to 15.6,23546,3835,2990,4680,"2,990 to 4,680",16.3,12.7,19.9,12.7 to 19.9,17229,2490,1851,3129,"1,851 to 3,129",14.5,10.8,18.2,10.8 to 18.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$50,909","$47,068","$54,750","$47,068 to $54,750"
Adams County (IL),05000US17001,-91.1949607,39.9860525,66578,NA,NA,NA,NA,NA,NA,392,3048,16117,14706,11787,8041,42.1,0.46,51624,31,19.2894141679434,2017,17,17001,Adams County (IL),63949,8608,7239,9977,"7,239 to 9,977",13.5,11.4,15.6,11.4 to 15.6,14572,2603,2059,3147,"2,059 to 3,147",17.9,14.2,21.6,14.2 to 21.6,10499,1687,1276,2098,"1,276 to 2,098",16.1,12.2,20.0,12.2 to 20.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$49,088","$46,873","$51,303","$46,873 to $51,303"
Champaign County (IL),05000US17019,-88.1972014,40.1391496,208419,151060,27686,21908,331,62,1244,712,4064,25018,34726,55187,37842,29.9,0.5131,50335,32.7,10.7579163408913,2017,17,17019,Champaign County (IL),193338,37106,33910,40302,"33,910 to 40,302",19.2,17.5,20.9,17.5 to 20.9,39002,6762,5391,8133,"5,391 to 8,133",17.3,13.8,20.8,13.8 to 20.8,27201,4545,3495,5595,"3,495 to 5,595",16.7,12.8,20.6,12.8 to 20.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$51,466","$48,581","$54,351","$48,581 to $54,351"
Cook County (IL),05000US17031,-87.6454546,41.8942937,5203499,2919459,1223763,371491,14508,1939,537416,173260,234099,832486,909459,1344758,763242,36.5,0.5049,60046,29.7,15.5452238905525,2017,17,17031,Cook County (IL),5125439,746194,722554,769834,"722,554 to 769,834",14.6,14.1,15.1,14.1 to 15.1,1133304,231929,219776,244082,"219,776 to 244,082",20.5,19.4,21.6,19.4 to 21.6,812156,161004,151907,170101,"151,907 to 170,101",19.8,18.7,20.9,18.7 to 20.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$61,401","$60,743","$62,059","$60,743 to $62,059"
DeKalb County (IL),05000US17037,-88.768991,41.8946125,104528,86721,7396,2439,117,0,4515,786,3740,15552,20750,19341,18120,30.9,0.4382,59285,30.3,9.60479694739711,2017,17,17037,DeKalb County (IL),98493,13876,12053,15699,"12,053 to 15,699",14.1,12.2,16.0,12.2 to 16.0,22259,2928,2324,3532,"2,324 to 3,532",13.2,10.5,15.9,10.5 to 15.9,16209,2015,1577,2453,"1,577 to 2,453",12.4,9.7,15.1,9.7 to 15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$60,856","$56,542","$65,170","$56,542 to $65,170"
DuPage County (IL),05000US17043,-88.0860383,41.8520581,929368,714083,45918,107270,1060,481,35093,16291,23995,117199,161110,307628,63806,39.0,0.4554,84908,29.2,7.90460564865815,2017,17,17043,DuPage County (IL),916653,56794,50547,63041,"50,547 to 63,041",6.2,5.5,6.9,5.5 to 6.9,210957,16067,13488,18646,"13,488 to 18,646",7.6,6.4,8.8,6.4 to 8.8,156200,11406,9436,13376,"9,436 to 13,376",7.3,6.0,8.6,6.0 to 8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$89,536","$87,430","$91,642","$87,430 to $91,642"
Kane County (IL),05000US17089,-88.4280395,41.9395938,531715,374272,29929,21320,2405,33,91408,23571,22472,75833,100321,115853,56729,37.2,0.4488,73347,30.5,10.9511861313869,2017,17,17089,Kane County (IL),528489,48756,42938,54574,"42,938 to 54,574",9.2,8.1,10.3,8.1 to 10.3,136298,18555,15947,21163,"15,947 to 21,163",13.6,11.7,15.5,11.7 to 15.5,101754,13701,11779,15623,"11,779 to 15,623",13.5,11.6,15.4,11.6 to 15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$75,739","$73,787","$77,691","$73,787 to $77,691"
Kankakee County (IL),05000US17091,-87.8611252,41.1394937,110008,86918,17306,1023,394,0,2799,2030,6096,24885,24039,13842,14338,38.2,0.4113,54911,24.4,17.6044157297655,2017,17,17091,Kankakee County (IL),105115,15750,13503,17997,"13,503 to 17,997",15.0,12.9,17.1,12.9 to 17.1,24938,5055,4033,6077,"4,033 to 6,077",20.3,16.2,24.4,16.2 to 24.4,18488,3329,2531,4127,"2,531 to 4,127",18,13.7,22.3,13.7 to 22.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$57,706","$54,377","$61,035","$54,377 to $61,035"
Kendall County (IL),05000US17093,-88.4306257,41.5881403,124695,NA,NA,NA,NA,NA,NA,2335,4293,16998,26126,27471,5968,35.2,0.3544,90482,31.6,6.86346682371417,2017,17,17093,Kendall County (IL),125795,5993,4858,7128,"4,858 to 7,128",4.8,3.9,5.7,3.9 to 5.7,36034,2103,1621,2585,"1,621 to 2,585",5.8,4.5,7.1,4.5 to 7.1,27274,1501,1137,1865,"1,137 to 1,865",5.5,4.2,6.8,4.2 to 6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$97,039","$88,053","$106,025","$88,053 to $106,025"
Lake County (IL),05000US17097,-87.4361178,42.3264435,703047,530524,46836,52572,1206,310,52919,16075,21154,93189,115963,202633,58653,38.5,0.4909,83152,30,9.02041818405008,2017,17,17097,Lake County (IL),685196,52630,45901,59359,"45,901 to 59,359",7.7,6.7,8.7,6.7 to 8.7,169870,17007,14105,19909,"14,105 to 19,909",10,8.3,11.7,8.3 to 11.7,129476,11914,9804,14024,"9,804 to 14,024",9.2,7.6,10.8,7.6 to 10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$86,242","$83,098","$89,386","$83,098 to $89,386"
McHenry County (IL),05000US17111,-88.452245,42.3242982,307004,284322,3937,8478,253,0,3878,4041,8777,54641,66576,69513,23974,39.7,0.4013,81063,29.6,7.0377629451665,2017,17,17111,McHenry County (IL),307139,18686,15779,21593,"15,779 to 21,593",6.1,5.2,7.0,5.2 to 7.0,73141,5257,4196,6318,"4,196 to 6,318",7.2,5.7,8.7,5.7 to 8.7,56004,3601,2808,4394,"2,808 to 4,394",6.4,5.0,7.8,5.0 to 7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$86,450","$82,898","$90,002","$82,898 to $90,002"
